strategy,round,side,amount,result,bankroll,roi
Player1_Martingale,161,Tai,400000.00,Win,96695000.00,-3.31%
Player1_Martingale,162,Xiu,50000.00,Win,96742500.00,-3.26%
Player1_Martingale,163,Xiu,50000.00,Lose,96692500.00,-3.31%
Player1_Martingale,164,Xiu,100000.00,Lose,96592500.00,-3.41%
Player1_Martingale,165,Xiu,200000.00,Win,96782500.00,-3.22%
Player1_Martingale,166,Tai,50000.00,Lose,96732500.00,-3.27%
Player1_Martingale,167,Xiu,100000.00,Lose,96632500.00,-3.37%
Player1_Martingale,168,Xiu,200000.00,Win,96822500.00,-3.18%
Player1_Martingale,169,Tai,50000.00,Lose,96772500.00,-3.23%
Player1_Martingale,170,Tai,100000.00,Win,96867500.00,-3.13%
Player1_Martingale,171,Tai,50000.00,Lose,96817500.00,-3.18%
Player1_Martingale,172,Xiu,100000.00,Lose,96717500.00,-3.28%
Player1_Martingale,173,Tai,200000.00,Lose,96517500.00,-3.48%
Player1_Martingale,174,Tai,400000.00,Lose,96117500.00,-3.88%
Player1_Martingale,175,Xiu,800000.00,Win,96877500.00,-3.12%
Player1_Martingale,176,Xiu,50000.00,Win,96925000.00,-3.08%
Player1_Martingale,177,Tai,50000.00,Win,96972500.00,-3.03%
Player1_Martingale,178,Xiu,50000.00,Win,97020000.00,-2.98%
Player1_Martingale,179,Xiu,50000.00,Win,97067500.00,-2.93%
Player1_Martingale,180,Tai,50000.00,Win,97115000.00,-2.89%
Player1_Martingale,181,Xiu,50000.00,Lose,97065000.00,-2.94%
Player1_Martingale,182,Tai,100000.00,Lose,96965000.00,-3.03%
Player1_Martingale,183,Tai,200000.00,Lose,96765000.00,-3.23%
Player1_Martingale,184,Xiu,400000.00,Lose,96365000.00,-3.64%
Player1_Martingale,185,Xiu,800000.00,Win,97125000.00,-2.88%
Player1_Martingale,186,Xiu,50000.00,Win,97172500.00,-2.83%
Player1_Martingale,187,Xiu,50000.00,Win,97220000.00,-2.78%
Player1_Martingale,188,Tai,50000.00,Lose,97170000.00,-2.83%
Player1_Martingale,189,Xiu,100000.00,Lose,97070000.00,-2.93%
Player1_Martingale,190,Tai,200000.00,Win,97260000.00,-2.74%
Player1_Martingale,191,Xiu,50000.00,Lose,97210000.00,-2.79%
Player1_Martingale,192,Tai,100000.00,Lose,97110000.00,-2.89%
Player1_Martingale,193,Tai,200000.00,Lose,96910000.00,-3.09%
Player1_Martingale,194,Tai,400000.00,Lose,96510000.00,-3.49%
Player1_Martingale,195,Tai,800000.00,Lose,95710000.00,-4.29%
Player1_Martingale,196,Xiu,1000000.00,Win,96660000.00,-3.34%
Player1_Martingale,197,Tai,50000.00,Lose,96610000.00,-3.39%
Player1_Martingale,198,Xiu,100000.00,Win,96705000.00,-3.29%
Player1_Martingale,199,Tai,50000.00,Lose,96655000.00,-3.35%
Player1_Martingale,200,Tai,100000.00,Win,96750000.00,-3.25%
Player1_Martingale,201,Tai,50000.00,Win,96797500.00,-3.20%
Player1_Martingale,202,Xiu,50000.00,Lose,96747500.00,-3.25%
Player1_Martingale,203,Tai,100000.00,Win,96842500.00,-3.16%
Player1_Martingale,204,Tai,50000.00,Win,96890000.00,-3.11%
Player1_Martingale,205,Xiu,50000.00,Win,96937500.00,-3.06%
Player1_Martingale,206,Tai,50000.00,Win,96985000.00,-3.02%
